ClassNameA,ConnectorType,ClassNameB,RelationshipName,Version,Notes,EAConnectorType
BiologicEntity,ASSOCIATION_WITH,AssociatedBiologicEntity,'is a function performed by',3.0.3,"DEFINITION: Each AssociatedBiologicEntity always is a function performed by one BiologicEntity. Each BiologicEntity sometimes functions as one or more AssociatedBiologicEntity.","Association"
BiologicEntity,ASSOCIATION_WITH,AssociatedBiologicEntity,'is scoped by',3.0.3,"DEFINITION: Each AssociatedBiologicEntity always is scoped by one BiologicEntity. Each BiologicEntity sometimes scopes one or more AssociatedBiologicEntity.","Association"
BiologicEntity,ASSOCIATION_WITH,BiologicEntityGroup,'groups',3.0.3,"DEFINITION: Each BiologicEntityGroup always groups one or more BiologicEntity. Each BiologicEntity sometimes is grouped by one or more BiologicEntityGroup. ","Association"
BiologicEntity,ASSOCIATION_WITH,BiologicEntityIdentifier,'identifies',3.0.3,"DEFINITION: Each BiologicEntityIdentifier always identifies one BiologicEntity. Each BiologicEntity sometimes is identified by one or more BiologicEntityIdentifier.","Association"
BiologicEntity,ASSOCIATION_WITH,BiologicEntityPart,'is part of',3.0.3,"DEFINITION: Each BiologicEntityPart always is part of one BiologicEntity. Each BiologicEntity sometimes has one or more BiologicEntityPart.","Association"
BiologicEntity,ASSOCIATION_WITH,ExperimentalUnit,'is a function performed by',3.0.3,"DEFINITION: Each ExperimentalUnit sometimes is a function performed by one BiologicEntity. Each BiologicEntity sometimes functions as one or more ExperimentalUnit.","Association"
BiologicEntity,ANCESTOR_TO,Person,'specializes',3.0.3,"DEFINITION: Each Person always specializes one BiologicEntity. Each BiologicEntity sometimes is specialized by one Person.:","Generalization"
BiologicEntity,ASSOCIATION_WITH,Subject,'is a function performed by',3.0.3,"DEFINITION: Each Subject sometimes is a function performed by one BiologicEntity. Each BiologicEntity sometimes functions as one or more Subject.","Association"
BiologicEntityGroup,ASSOCIATION_WITH,ExperimentalUnit,'is a function performed by',3.0.3,"DEFINITION: Each ExperimentalUnit sometimes is a function performed by one BiologicEntityGroup. Each BiologicEntityGroup sometimes functions as one or more ExperimentalUnit.","Association"
BiologicEntityPart,ASSOCIATION_WITH,ExperimentalUnit,'is a function performed by',3.0.3,"DEFINITION: Each ExperimentalUnit sometimes is a function performed by one BiologicEntityPart. Each BiologicEntityPart sometimes functions as one or more ExperimentalUnit. ","Association"
CooperativeGroup,ASSOCIATION_WITH,CooperativeGroupMember,'is a member of',3.0.3,"DEFINITION: Each CooperativeGroupMember always is a member of one CooperativeGroup. Each CooperativeGroup sometimes has as a member one or more CooperativeGroupMember.","Association"
CooperativeGroup,ASSOCIATION_WITH,TreatingSite,'is a member of',3.0.3,"DEFINITION: Each TreatingSite sometimes is a member of one CooperativeGroup. Each CooperativeGroup sometimes has as a member one or more TreatingSite.","Association"
CooperativeGroupMember,ASSOCIATION_WITH,AdministrativeMemberCRA,'staffs',3.0.3,"DEFINITION: Each AdministrativeMemberCRA always staffs one CooperativeGroupMember. Each CooperativeGroupMember always is staffed by one AdministrativeMemberCRA.","Association"
CooperativeGroupMember,ASSOCIATION_WITH,AdministrativeMemberPI,'staffs',3.0.3,"DEFINITION: Each AdministrativeMemberPI always staffs one CooperativeGroupMember. Each CooperativeGroupMember always is staffed by one AdministrativeMemberPI.","Association"
CooperativeGroupMember,ASSOCIATION_WITH,TreatingSite,'is a member of',3.0.3,"DEFINITION: Each TreatingSite sometimes is a member of one CooperativeGroupMember. Each CooperativeGroupMember always has as a member one or more TreatingSite.","Association"
Cosmetic,DESCENDENT_OF,Product,'specializes',3.0.3,"DEFINITION: Each Cosmetic always specializes one Product. Each Product sometimes is specialized by one Cosmetic.","Generalization"
Device,ASSOCIATION_WITH,Assessor,'is a function performed by',3.0.3,"DEFINITION: Each Assessor sometimes is a function performed by one Device. Each Device sometimes functions as one or more Assessor.","Association"
Device,DESCENDENT_OF,Product,'specializes',3.0.3,"DEFINITION: Each Device always is specialized by one Product. Each Product sometimes is specialized by one Device.","Generalization"
Device,ASSOCIATION_WITH,Performer,'is a function performed by',3.0.3,"DEFINITION: Each Performer sometimes is a function performed by one Device. Each Device sometimes functions as one or more Performer.","Association"
Device,ASSOCIATION_WITH,ReferenceResult,'applies to results produced by',3.0.3,"DEFINITION: Each ReferenceResult sometimes applies to results produced by one Device. Each Device sometimes produces one or more ReferenceResult.","Association"
Document,ASSOCIATION_WITH,DocumentIdentifier,'identifies',3.0.3,"DEFINITION: Each DocumentIdentifier always identifies one Document. Each Document sometimes is identified by one or more DocumentIdentifier.","Association"
Document,ASSOCIATION_WITH,DocumentVersion,'is a version of',3.0.3,"DEFINITION: Each DocumentVersion always is a version of one Document. Each Document always has as a version one or more DocumentVersion.","Association"
Document,ANCESTOR_TO,StudyProtocolDocument,'specializes',3.0.3,"DEFINITION: Each StudyProtocolDocument always specializes one Document. Each Document sometimes is specialized by one StudyProtocolDocument.","Generalization"
DocumentAuthor,ASSOCIATION_WITH,NotificationReceiver,'is a function performed by',3.0.3,"DEFINITION: Each NotificationReceiver sometimes is a function performed by one DocumentAuthor. Each DocumentAuthor sometimes functions as one or more NotificationReceiver.","Association"
DocumentVersion,ANCESTOR_TO,AmendmentChangeSummaryVersion,'specializes',3.0.3,"DEFINITION: Each AmendmentChangeSummaryVersion always specializes one DocumentVersion. Each DocumentVersion sometimes is specialized by one AmendmentChangeSummaryVersion.","Generalization"
DocumentVersion,ASSOCIATION_WITH,DefinedNotification,'has as an attachment',3.0.3,"DEFINITION: Each DefinedNotification sometimes has as an attachment one or more DocumentVersion. Each DocumentVersion sometimes is an attachment on one or more DefinedNotification.","Association"
DocumentVersion,ASSOCIATION_WITH,DefinedStudySubjectMilestone,'uses',3.0.3,"DEFINITION: Each DefinedStudySubjectMilestone sometimes uses one DocumentVersion. Each DocumentVersion sometimes is used for one DefinedStudySubjectMilestone.","Association"
DocumentVersion,ASSOCIATION_WITH,DocumentAuthor,'authors',3.0.3,"DEFINITION: Each DocumentAuthor always authors one DocumentVersion. Each DocumentVersion always is authored by one or more DocumentAuthor.","Association"
DocumentVersion,ASSOCIATION_WITH,DocumentVersionRelationship,'has as source',3.0.3,"DEFINITION: Each DocumentVersionRelationship always has as source one DocumentVersion. Each DocumentVersion sometimes is the source for one or more DocumentVersionRelationship.","Association"
DocumentVersion,ASSOCIATION_WITH,DocumentVersionRelationship,'has as target',3.0.3,"DEFINITION: Each DocumentVersionRelationship always has as target one DocumentVersion. Each DocumentVersion sometimes is the target for one or more DocumentVersionRelationship.","Association"
DocumentVersion,ASSOCIATION_WITH,DocumentVersionWorkflowStatus,'describes',3.0.3,"DEFINITION: Each DocumentVersionWorkflowStatus always describes one DocumentVersion. Each DocumentVersion sometimes is described by one or more DocumentVersionWorkflowStatus.","Association"
DocumentVersion,ASSOCIATION_WITH,PerformedStudySubjectMilestone,'uses',3.0.3,"DEFINITION: Each PerformedStudySubjectMilestone sometimes uses one DocumentVersion. Each DocumentVersion sometimes is used for one or more PerformedStudySubjectMilestone.","Association"
DocumentVersion,ANCESTOR_TO,ReportVersion,'specializes',3.0.3,"DEFINITION: Each ReportVersion always specializes one DocumentVersion. Each DocumentVersion sometimes is specialized by one ReportVersion.","Generalization"
DocumentVersion,ANCESTOR_TO,StudyProtocolDocumentVersion,'specializes',3.0.3,"DEFINITION: Each StudyProtocolDocumentVersion always specializes one DocumentVersion. Each DocumentVersion sometimes is specialized by one StudyProtocolDocumentVersion.","Generalization"
DocumentVersion,ASSOCIATION_WITH,SubmissionUnit,'includes',3.0.3,"DEFINITION: Each SubmissionUnit always includes one or more DocumentVersion. Each DocumentVersion sometimes is included in one or more SubmissionUnit.","Association"
Drug,DESCENDENT_OF,Product,'specializes',3.0.3,"DEFINITION: Each Drug always specializes one Product. Each Product sometimes is specialized by one Drug.","Generalization"
ExperimentalUnit,ASSOCIATION_WITH,Activity,'is participated in by',3.0.3,"DEFINITION: Each Activity sometimes is participated in by one ExperimentalUnit. Each ExperimentalUnit sometimes participates in one or more Activity.","Association"
FoodProduct,DESCENDENT_OF,Product,'specializes',3.0.3,"DEFINITION: Each FoodProduct always specializes one Product. Each Product sometimes is specialized by one FoodProduct.","Generalization"
HealthcareFacility,ASSOCIATION_WITH,HealthcareProviderGroup,'is used to group staff for',3.0.3,"DEFINITION: Each HealthcareProviderGroup always is used to group staff for one HealthcareFacility. Each HealthcareFacility sometimes groups staff into one or more HealthcareProviderGroup.","Association"
HealthcareFacility,ASSOCIATION_WITH,HealthcareProvider,'staffs',3.0.3,"DEFINITION: Each HealthcareProvider always staffs one HealthcareFacility. Each HealthcareFacility sometimes is staffed by one or more HealthcareProvider.","Association"
HealthcareFacility,ASSOCIATION_WITH,OversightCommittee,'oversees',3.0.3,"DEFINITION: Each OversightCommittee always oversees one or more HealthcareFacility. Each HealthcareFacility sometimes is overseen by one or more OversightCommittee.","Association"
HealthcareFacility,ASSOCIATION_WITH,PlannedStudySite,'is a function planned to be performed by',3.0.3,"DEFINITION: Each PlannedStudySite sometimes is a function planned to be performed by one HealthcareFacility. Each HealthcareFacility sometimes plans to functions as one or more PlannedStudySite.","Association"
HealthcareFacility,ASSOCIATION_WITH,StudySite,'is a function performed by',3.0.3,"DEFINITION: Each StudySite sometimes is a function performed by one HealthcareFacility. Each HealthcareFacility sometimes functions as one or more StudySite.","Association"
HealthcareFacility,ASSOCIATION_WITH,TreatingSite,'is a function performed by',3.0.3,"DEFINITION: Each TreatingSite always is a function performed by one HealthcareFacility. Each HealthcareFacility sometimes functions as one or more TreatingSite.","Association"
HealthcareProvider,ASSOCIATION_WITH,Assessor,'is a function performed by',3.0.3,"DEFINITION: Each Assessor sometimes is a function performed by one HealthcareProvider. Each HealthcareProvider sometimes functions as one or more Assessor. ","Association"
HealthcareProvider,ASSOCIATION_WITH,DocumentAuthor,'is a function performed by',3.0.3,"DEFINITION: Each DocumentAuthor sometimes is a function performed by one HealthcareProvider. Each HealthcareProvider sometimes functions as one or more DocumentAuthor. ","Association"
HealthcareProvider,ASSOCIATION_WITH,HealthcareProviderGroupMember,'is a function performed by',3.0.3,"DEFINITION: Each HealthcareProviderGroupMember always is a function performed by one HealthcareProvider. Each HealthcareProvider sometimes functions as one or more HealthcareProviderGroupMember.","Association"
HealthcareProvider,ASSOCIATION_WITH,NotificationReceiver,'is a function performed by',3.0.3,"DEFINITION: Each NotificationReceiver sometimes is a function performed by one HealthcareProvider. Each HealthcareProvider sometimes functions as one or more NotificationReceiver.","Association"
HealthcareProvider,ASSOCIATION_WITH,RegulatoryApplicationSponsor,'is a function performed by',3.0.3,"DEFINITION: Each RegulatoryApplicationSponsor sometimes is a function performed by one HealthcareProvider. Each HealthcareProvider sometimes functions as one or more RegulatoryApplicationSponsor.","Association"
HealthcareProvider,ASSOCIATION_WITH,StudyInvestigator,'is a function performed by',3.0.3,"DEFINITION: Each StudyInvestigator sometimes is a function performed by one HealthcareProvider. Each HealthcareProvider sometimes functions as one or more StudyInvestigator.","Association"
HealthcareProvider,ASSOCIATION_WITH,StudyLegalSponsor,'is a function performed by',3.0.3,"DEFINITION: Each StudyLegalSponsor sometimes is a function performed by one HealthcareProvider. Each HealthcareProvider sometimes functions as one or more StudyLegalSponsor.","Association"
HealthcareProvider,ASSOCIATION_WITH,StudySiteInvestigator,'is a function performed by',3.0.3,"DEFINITION: Each StudySiteInvestigator sometimes is a function performed by one HealthcareProvider. Each HealthcareProvider sometimes functions as one or more StudySiteInvestigator.","Association"
HealthcareProviderGroup,ASSOCIATION_WITH,HealthcareProviderGroupMember,'belongs to',3.0.3,"DEFINITION: Each HealthcareProviderGroupMember always belongs to one HealthcareProviderGroup. Each HealthcareProviderGroup always contains one or more HealthcareProviderGroupMember.","Association"
Manufacturer,DESCENDENT_OF,Processor,'specializes',3.0.3,"DEFINITION: Each Manufacturer always specializes one Processor. Each Processor sometimes is specialized by one Manufacturer.","Generalization"
Material,ASSOCIATION_WITH,MaterialIdentifier,'identifies',3.0.3,"DEFINITION: Each MaterialIdentifier always identifies one Material. Each Material sometimes is identified by one or more MaterialIdentifier.","Association"
Material,ASSOCIATION_WITH,MaterialName,'names',3.0.3,"DEFINITION: Each MaterialName always names one Material. Each Material always is named by one or more MaterialName.","Association"
Material,ANCESTOR_TO,Product,'specializes',3.0.3,"DEFINITION: Each Product always specializes one Material. Each Material sometimes is specialized by one Product.","Generalization"
Material,ASSOCIATION_WITH,Specimen,'is a function performed by',3.0.3,"DEFINITION: Each Specimen always is a function performed by one Material. Each Material sometimes functions as one Specimen.","Association"
Organization,ASSOCIATION_WITH,BiologicEntityIdentifier,'is assigned by',3.0.3,"DEFINITION: Each BiologicEntityIdentifier always is assigned by one Organization. Each Organization sometimes assigns one or more BiologicEntityIdentifier.","Association"
Organization,ASSOCIATION_WITH,CooperativeGroupMember,'is a function performed by',3.0.3,"DEFINITION: Each CooperativeGroupMember always is a function performed by one Organization. Each Organization sometimes functions as one or more CooperativeGroupMember.","Association"
Organization,ASSOCIATION_WITH,CooperativeGroup,'is a function performed by',3.0.3,"DEFINITION: Each CooperativeGroup always is a function performed by one Organization. Each Organization sometimes functions as one CooperativeGroup.","Association"
Organization,ASSOCIATION_WITH,CooperativeGroup,'is credentialed by',3.0.3,"DEFINITION: Each CooperativeGroup always is credentialed by one Organization. Each Organization sometimes credentials one or more CooperativeGroup.","Association"
Organization,ASSOCIATION_WITH,Distributor,'is a function performed by',3.0.3,"DEFINITION: Each Distributor always is a function performed by one Organization. Each Organization sometimes functions as one Distributor.","Association"
Organization,ASSOCIATION_WITH,DocumentIdentifier,'is assigned by',3.0.3,"DEFINITION: Each DocumentIdentifier sometimes is assigned by one Organization. Each Organization sometimes assigns one or more DocumentIdentifier.","Association"
Organization,ASSOCIATION_WITH,HealthcareFacility,'is a function performed by',3.0.3,"DEFINITION: Each HealthcareFacility always is a function performed by one Organization. Each Organization sometimes functions as one HealthcareFacility.","Association"
Organization,ASSOCIATION_WITH,HealthcareProviderGroup,'is a function performed by',3.0.3,"DEFINITION: Each HealthcareProviderGroup always is a function performed by one Organization. Each Organization sometimes functions as one HealthcareProviderGroup.","Association"
Organization,ASSOCIATION_WITH,HealthcareProvider,'belongs to department at',3.0.3,"DEFINITION: Each HealthcareProvider sometimes belongs to department at one Organization. Each Organization sometimes is the department for one or more HealthcareProvider.","Association"
Organization,ASSOCIATION_WITH,Laboratory,'is a function performed by',3.0.3,"DEFINITION: Each Laboratory always is a function performed by one Organization. Each Organization sometimes functions as one Laboratory.","Association"
Organization,ASSOCIATION_WITH,MaterialIdentifier,'is assigned by',3.0.3,"DEFINITION: Each MaterialIdentifier sometimes is assigned by one Organization. Each Organization sometimes assigns one or more MaterialIdentifier.","Association"
Organization,ASSOCIATION_WITH,NotificationReceiver,'is a function performed by',3.0.3,"DEFINITION: Each NotificationReceiver sometimes is a function performed by one Organization. Each Organization sometimes functions as one or more NotificationReceiver.","Association"
Organization,ASSOCIATION_WITH,OrganizationIdentifier,'identifies',3.0.3,"DEFINITION: Each OrganizationIdentifier always identifies one Organization. Each Organization sometimes is identified by one or more OrganizationIdentifier.","Association"
Organization,ASSOCIATION_WITH,OrganizationIdentifier,'is assigned by',3.0.3,"DEFINITION: Each OrganizationIdentifier sometimes is assigned by one Organization. Each Organization sometimes assigns one or more OrganizationIdentifier.","Association"
Organization,ASSOCIATION_WITH,OrganizationRelationship,'has as source',3.0.3,"DEFINITION: Each OrganizationRelationship always has as source one Organization. Each Organization sometimes is the source for one or more OrganizationRelationship.","Association"
Organization,ASSOCIATION_WITH,OrganizationRelationship,'has as target',3.0.3,"DEFINITION: Each OrganizationRelationship always has as target one Organization. Each Organization sometimes is the target for one or more OrganizationRelationship.","Association"
Organization,ASSOCIATION_WITH,OrganizationalContact,'handles communication for',3.0.3,"DEFINITION: Each OrganizationalContact always handles communication for one Organization. Each Organization sometimes has communications handled by one or more OrganizationalContact.","Association"
Organization,ASSOCIATION_WITH,OversightAuthority,'is a function performed by',3.0.3,"DEFINITION: Each OversightAuthority always is a function performed by one Organization. Each Organization sometimes functions as one OversightAuthority.","Association"
Organization,ASSOCIATION_WITH,Performer,'is a function performed by',3.0.3,"DEFINITION: Each Performer sometimes is a function performed by one Organization. Each Organization sometimes functions as one or more Performer.","Association"
Organization,ASSOCIATION_WITH,PlannedStudySite,'is a function planned to be performed by',3.0.3,"DEFINITION: Each PlannedStudySite sometimes is a function planned to be performed by one Organization. Each Organization sometimes plans to functions as one or more PlannedStudySite.","Association"
Organization,ASSOCIATION_WITH,Processor,'is a function performed by',3.0.3,"DEFINITION: Each Processor always is a function performed by one Organization. Each Organization sometimes functions as one or more Processor.","Association"
Organization,ASSOCIATION_WITH,QualifiedPerson,'is credentialed by',3.0.3,"DEFINITION: Each QualifiedPerson always is credentialed by one Organization. Each Organization sometimes credentials one or more QualifiedPerson.","Association"
Organization,ASSOCIATION_WITH,RegulatoryApplicationSponsor,'is a function performed by',3.0.3,"DEFINITION: Each RegulatoryApplicationSponsor sometimes is a function performed by one Organization. Each Organization sometimes functions as one or more RegulatoryApplicationSponsor.","Association"
Organization,ASSOCIATION_WITH,ReportReceiver,'is a function performed by',3.0.3,"DEFINITION: Each ReportReceiver sometimes is a function performed by one Organization. Each Organization sometimes functions as one or more ReportReceiver.","Association"
Organization,ASSOCIATION_WITH,ResearchOrganization,'is a function performed by',3.0.3,"DEFINITION: Each ResearchOrganization always is a function performed by one Organization. Each Organization sometimes functions as one ResearchOrganization.","Association"
Organization,ASSOCIATION_WITH,ResourceProvider,'is a function performed by',3.0.3,"DEFINITION: Each ResourceProvider sometimes is a function performed by one Organization. Each Organization sometimes functions as one ResourceProvider.","Association"
Organization,ASSOCIATION_WITH,ServiceDeliveryLocation,'is delivery location for',3.0.3,"DEFINITION: Each ServiceDeliveryLocation sometimes is delivery location for one Organization. Each Organization sometimes receives delivery at one or more ServiceDeliveryLocation.","Association"
Organization,ASSOCIATION_WITH,StudyLegalSponsor,'is a function performed by',3.0.3,"DEFINITION: Each StudyLegalSponsor sometimes is a function performed by one Organization. Each Organization sometimes functions as one or more StudyLegalSponsor.","Association"
Organization,ASSOCIATION_WITH,StudyRegistry,'is managed by',3.0.3,"DEFINITION: Each StudyRegistry always is managed by one Organization. Each Organization sometimes manages one or more StudyRegistry.","Association"
Organization,ASSOCIATION_WITH,StudySite,'is a function performed by',3.0.3,"DEFINITION: Each StudySite sometimes is a function performed by one Organization. Each Organization sometimes functions as one or more StudySite.","Association"
Organization,ASSOCIATION_WITH,SubjectIdentifier,'is assigned by',3.0.3,"DEFINITION: Each SubjectIdentifier sometimes is assigned by one Organization. Each Organization sometimes assigns one or more SubjectIdentifier.","Association"
OversightCommittee,ASSOCIATION_WITH,Assessor,'is a function performed by',3.0.3,"DEFINITION: Each Assessor sometimes is a function performed by one OversightCommittee. Each OversightCommittee sometimes functions as one or more Assessor.","Association"
OversightCommittee,DESCENDENT_OF,OversightAuthority,'specializes',3.0.3,"DEFINITION: Each OversightCommittee always specializes one OversightAuthority. Each OversightAuthority sometimes is specialized by one OversightCommittee.","Generalization"
OversightCommittee,ASSOCIATION_WITH,StudySiteOversightStatus,'is assigned by',3.0.3,"DEFINITION: Each StudySiteOversightStatus always is assigned by one OversightCommittee. Each OversightCommittee sometimes assigns one or more StudySiteOversightStatus.","Association"
Package,DESCENDENT_OF,Product,'specializes',3.0.3,"DEFINITION: Each Package always specializes one Product. Each Procuct sometimes is specialized by one Package.","Generalization"
Person,ASSOCIATION_WITH,HealthcareProvider,'is a function performed by',3.0.3,"DEFINITION: Each HealthcareProvider always is a function performed by one Person. Each Person sometimes functions as one or more HealthcareProvider.","Association"
Person,ASSOCIATION_WITH,OrganizationalContact,'is a function performed by',3.0.3,"DEFINITION: Each OrganizationalContact sometimes is a function performed by one Person. Each Person sometimes functions as one or more OrganizationalContact.","Association"
Person,ASSOCIATION_WITH,Performer,'is a function performed by',3.0.3,"DEFINITION: Each Performer sometimes is a function performed by one Person. Each Person sometimes functions as one or more Performer.","Association"
Person,DESCENDENT_OF,BiologicEntity,'specializes',3.0.3,"DEFINITION: Each Person always specializes one BiologicEntity. Each BiologicEntity sometimes is specialized by one Person.:","Generalization"
Person,ASSOCIATION_WITH,QualifiedPerson,'is a function performed by',3.0.3,"DEFINITION: Each QualifiedPerson always is a function performed by one Person. Each Person sometimes functions as one or more QualifiedPerson.","Association"
Person,ASSOCIATION_WITH,ReportReceiver,'is a function performed by',3.0.3,"DEFINITION: Each ReportReceiver sometimes is a function performed by one Person. Each Person sometimes functions as one or more ReportReceiver.","Association"
Person,ASSOCIATION_WITH,ResearchStaff,'is a function performed by',3.0.3,"DEFINITION: Each ResearchStaff always is a function performed by one Person. Each Person sometimes functions as one or more ResearchStaff.","Association"
