ClassName,SubdomainName,Version,Notes
SafetyReportVersion,Adverse Event Sub-Domain,5.2,"DEFINITION: A report that provides notification of an adverse event product problem and/or information that is relevant to either. A report typically includes causal association management strategies authorship sender/receiver organizations subject of adverse event or name of product. EXAMPLE(S): An Expedited AE report - a report of a serious and unexpected adverse event that must be submitted within specific timeframes to the sponsor and regulatory agencies. OTHER NAME(S): NOTE(S):"
BiologicSpecimen,Biospecimen Sub-Domain,5.2,"DEFINITION: Any material sample taken from a biological entity including a sample obtained from a living organism or taken from the biological object after halting of all its life functions. Biospecimen can contain one or more components including but not limited to cellular molecules cells tissues organs body fluids embryos and body excretory products (source: NCIt modified). EXAMPLE(S): OTHER NAME(S): NOTE(S):"
DefinedSpecimenMove,Biospecimen Sub-Domain,5.2,"DEFINITION: The action of locating or relocating a specimen or specimen collection group from and/or to its storage location. EXAMPLE(S): Check-in check-out transfer from one location to another OTHER NAME(S): Specimen Check-in/Check-out Specimen Return Specimen Placement NOTE(S):"
PerformedSpecimenMove,Biospecimen Sub-Domain,5.2,"DEFINITION: The completed action of locating or relocating a specimen or specimen collection group from and/or to its storage location. EXAMPLE(S): Check-in check-out transfer from one location to another OTHER NAME(S): Specimen Check-in/Check-out Specimen Return Specimen Placement NOTE(S): Note that attributes in this class are optional and can be used as needed for the type of transaction being recorded e.g. check-in can represent the intake of a new specimen using the “to position” attributes only likewise check-out can represent a specimen being taken out of a container using only the from position attributes."
Specimen,Biospecimen Sub-Domain,5.2,"DEFINITION: A substance or portion of material originally obtained from an entity for use in testing examination or study. EXAMPLE(S): Blood obtained by a specimen collection activity performed on a study subject. A few grains of cattle feed obtained from a feed sack. A randomly selected pill from a blister pack. A serum specimen that resulted from Centrifugation procedure performed on a blood specimen. A DNA specimen extraction from a saliva specimen. A Formalin-Fixed Paraffin-Embedded (FFPE) block that resulted from a paraffin embedding procedure performed on a formalin fixed tissue specimen. A pooled blood sample that resulted from a mixing procedure performed on several blood samples taken from individual animals. OTHER NAME(S): Biologic specimen Product specimen NOTE(S):"
SpecimenCollectionGroup,Biospecimen Sub-Domain,5.2,"DEFINITION: A group of specimens collected from the same participant in the same accession event. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
SpecimenCollectionProtocol,Biospecimen Sub-Domain,5.2,"DEFINITION: A set of procedures that govern the collection of biospecimens. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
SpecimenCollectionProtocolSubject,Biospecimen Sub-Domain,5.2,"DEFINITION: An individual who participates in a specimen collection protocol. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
SpecimenProcessing,Biospecimen Sub-Domain,5.2,"DEFINITION: A non-research project with the ultimate goal of performing a continuous action operation or series of changes on a biological sample. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
SpecimenProcessingProtocol,Biospecimen Sub-Domain,5.2,"DEFINITION: A defined set of procedures that governs the processing of biospecimens. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
Activity,Common Sub-Domain,5.2,"DEFINITION: Any action that can in the context of a study experiment post-marketing investigation or disease registry be defined planned scheduled or performed. EXAMPLE(S): Administrative activities such as subject registration or informed consent Clinical activities such as surgical procedure laboratory test administration of a drug OTHER NAME(S): NOTE(S):"
AdministrativeMemberCRA,Common Sub-Domain,5.2,"DEFINITION: A clinical research associate (CRA) at a site who has the primary responsibility for communications and data related to a specific organizational network in which that site participates. EXAMPLE(S): Jane Doe is the Primary CRA for ECOG at Mayo Clinic; she receives all of the ECOG communications at Mayo and distributes them appropriately. OTHER NAME(S): NOTE(S)"
AdministrativeMemberPI,Common Sub-Domain,5.2,"DEFINITION: The principal investigator (PI) at a site who is responsible for all activities related to a specific organizational network's research at that site. EXAMPLE(S): Dr. Smith is the ECOG site PI at Mayo Clinic. Dr. Jones is the site PI for the GOG network participation at Mayo Clinic. They are responsible for the overall management of the entire network's (ECOG GOG) studies in which the Mayo Clinic participates. OTHER NAME(S): NOTE(S):"
AnatomicPathologyReportVersion,Common Sub-Domain,5.2,"DEFINITION: A digital document to be shared or exchanged between pathology laboratories and other care providers and institutions. EXAMPLE(S): OTHER NAME(S): NOTE(S): Anatomic pathology structured reports document the findings on specimens removed from patients for diagnostic or therapeutic reasons. This information can be used for patient care clinical research and epidemiology. Standardizing and computerizing anatomic pathology reports is necessary to improve the quality of reporting and to facilitate the exchange and reuse of the content of these reports. This content profile describes a digital anatomic pathology report shared in a human-readable format which may include images and which also contains findings and observations in a machine-readable format to facilitate the integration of these into the database of a consumer system and to enable the application of automated reasoning to this content."
AnatomicPathologySectionVersion,Common Sub-Domain,5.2,"DEFINITION: A portion of a digital document to be shared or exchanged between pathology laboratories and other care providers and institutions. EXAMPLE(S): Clinical Information Section Reason for AP Procedure Section History of Present Illness Section Active Problems Section Intraoperative Observation Section Macroscopic Observation Section Microscopic Observation Section Additional Observation Section Diagnostic Conclusion Section Procedure Steps Section OTHER NAME(S): NOTE(S):"
Animal,Common Sub-Domain,5.2,"DEFINITION: A non-human living organism that has membranous cell walls requires oxygen and organic foods and is capable of voluntary movement as distinguished from a plant or mineral. EXAMPLE(S): dog cat mouse microorganism OTHER NAME(S): NOTE(S):"
AssociatedBiologicEntity,Common Sub-Domain,5.2,"DEFINITION: An individual biologic entity connected/linked to another biologic entity. EXAMPLE(S): family member roommate nursing home attendant OTHER NAME(S): NOTE(S):"
AuthoringDevice,Common Sub-Domain,5.2,"DEFINITION: A device that is involved in generating documents or reports. EXAMPLE(S): A image analyzer that gives the results of an immunohistochemistry quantification OTHER NAME(S): NOTE(S):"
Biologic,Common Sub-Domain,5.2,"DEFINITION: A substance made from a living organism or thing it produces. EXAMPLE(S): virus therapeutic serum toxin antitoxin vaccine blood blood component or derivative allergenic product analogous product OTHER NAME(S): NOTE(S):"
BiologicEntity,Common Sub-Domain,5.2,"DEFINITION: Any individual living (or previously living) being. EXAMPLE(S): animal human being OTHER NAME(S): organism NOTE(S):"
BiologicEntityClassification,Common Sub-Domain,5.2,"DEFINITION: A group within a system of categories distinguished by structure origin etc. to which organisms may be assigned. [adapted from http://dictionary.reference.com/browse/classification?s=t] EXAMPLE(S): OTHER NAME(S): NOTE(S):"
BiologicEntityGroup,Common Sub-Domain,5.2,"DEFINITION: A collection of biologic entities. EXAMPLE(S): flock of ducks litter of mice herd of cows human cohort bacterial colony OTHER NAME(S): NOTE(S):"
BiologicEntityPart,Common Sub-Domain,5.2,"DEFINITION: A limb organ or other portion of a biologic entity. EXAMPLE(S): the left kidney of a person a dog's right front paw a patch of skin on a person's left forearm OTHER NAME(S): NOTE(S):"
CancerRegistry,Common Sub-Domain,5.2,"DEFINITION: An archive that stores a wide variety of specific information on cancer patients that can later be leveraged and analyzed by researchers to identify health disparity trends in cancer incidence mortality and patient survival and/or that can be submitted to a central repository for similar purposes. EXAMPLE(S): Alaska Native Tumor Registry Utah Cancer Registry OTHER NAME(S): NOTE(S):"
CellCulture,Common Sub-Domain,5.2,"DEFINITION: Cells propagated in vitro in special media conducive to their growth. Cultured cells are used to study developmental morphologic metabolic physiologic and genetic processes among others. [Source: Medical Subject Headings] EXAMPLE(S): OTHER NAME(S): NOTE(S):"
CellLine,Common Sub-Domain,5.2,"DEFINITION: An established cell culture that has the potential to propagate indefinitely. [Source: <font color=#0000ff><u>&lt;http://www.solvobiotech.com/support/glossary?/Literature/glossary.html&gt;]</u></font> EXAMPLE(S): human HeLa cells mouse fibroblast 3T3 cells OTHER NAME(S): NOTE(S):"
ClinicalDevelopmentPlan,Common Sub-Domain,5.2,"DEFINITION: An ordered program of clinical trials each with specific objectives. This plan describes the collection of clinical studies that are to be performed in sequence or in parallel with a particular active substance device procedure or treatment strategy typically with the intention of submitting them as part of an application for a marketing authorization. (Adapted from ICH E8 E9) EXAMPLE(S): OTHER NAME(S): NOTE(S): The plan should have appropriate decision points and allow modification as knowledge accumulates. "
Container,Common Sub-Domain,5.2,"DEFINITION: An object that can be used to hold things. EXAMPLE(S): slide tube box rack shipping carton bottle OTHER NAME(S): NOTE(S):"
CooperativeGroup,Common Sub-Domain,5.2,"DEFINITION: A group of researchers cancer centers and community doctors who provide infrastructure for studies of new cancer treatment prevention early detection quality of life and rehabilitation. EXAMPLE(S): Eastern Cooperative Oncology Group (ECOG) Southwest Oncology Group (SWOG). OTHER NAME(S): NOTE(S):"
CooperativeGroupMember,Common Sub-Domain,5.2,"DEFINITION: An organization comprised of a group of treating sites. EXAMPLE(S): A group of cancer centers with outreach clinics forming a loose confederation for research purposes. OTHER NAME(S): NOTE(S):"
Cosmetic,Common Sub-Domain,5.2,"DEFINITION: An article intended to be rubbed poured sprinkled or sprayed on or introduced into or otherwise applied to the human body for cleansing beautifying promoting attractiveness or altering the appearance. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
Device,Common Sub-Domain,5.2,"DEFINITION: An object intended for use whether alone or in combination for diagnostic prevention monitoring therapeutic scientific and/or experimental purposes. EXAMPLE(S): tongue depressor pacemaker insulin pump EKG machine x-ray machine mass spectrometer polymerase chain reaction (PCR) machine microscope pH meter OTHER NAME(S): Equipment NOTE(S):"
Distributor,Common Sub-Domain,5.2,"DEFINITION: An organization who takes part in the distribution chain for a product as it is moved from its producer to the ultimate consumer. EXAMPLE(S): OTHER NAME(S): NOTE(S): "
Document,Common Sub-Domain,5.2,"DEFINITION: An organized representation of information in publishable human-readable form (that persists over time). EXAMPLE(S): Study Protocol Adverse Event Report Expedited Adverse Event Report Institutional Review Board (IRB) Report X-Ray Report Lab Summary Report Autopsy Report OTHER NAME(S): NOTE(S): A document groups the various document versions and has the following characteristics: 1) Stewardship 2) Potential for authentication 3) Wholeness 4) Human readability 5) Persistence 6) Global vs local context (the person that signs it is the author of all sections unless otherwise noted). Regulatory processes require the submission of documents from the Applicant to the Regulatory Authority. These documents are varied in focus and are often defined by the field of study or by the regulatory application requirements of the region or Regulatory Authority (e.g. Integrated Summary of Safety Pharmacokinetics Written Summary). "
DocumentAuthor,Common Sub-Domain,5.2,"DEFINITION: The individual who is responsible for the content of a document version. EXAMPLE(S): A healthcare provider could be the author of a version of a study protocol document OTHER NAME(S): Document Version Author NOTE(S): Document authors can change from version to version. The class name (without the word Version) is retained because it is a domain friendly term."
DocumentVersion,Common Sub-Domain,5.2,"DEFINITION: A representation of a particular edition or snapshot of a document as it exists at a particular point in time. EXAMPLE(S): Version 3 of a case report form (CRF) for a physical exam version 2 of an informed consent form. OTHER NAME(S): NOTE(S):"
DocumentVersionRelationship,Common Sub-Domain,5.2,"DEFINITION: Specifies the meaning (or semantics) of the relationship between one document version and another. EXAMPLE(S): decomposition (component) pre-condition post-condition sequel (replaces modifies) attribution (cause and effect) In a Regulated Product Submission (RPS) support of versioning can be accomplished by having two different revisions of a document related to each other through a replaces relationship. Another example is version 3 of a breast cancer protocol uses version 2 of a consent form. OTHER NAME(S): NOTE(S): The DocumentVersions on either side of the DocumentVersionRelationship do not necessarily have to be related to the same Document or even have the same Document.typeCode."
DocumentVersionRepresentation,Common Sub-Domain,5.2,"DEFINITION: A format-specific representation of a particular edition of a document as it exists at a particular point in time. A particular edition may be available in multiple formats and each format may be available at multiple locations. EXAMPLE(S): A particular edition of a protocol may be available in MS Word PDF etc. and each format may be available at multiple locations such as on a research facility's web site on a cooperative groups web page etc. OTHER NAME(S): NOTE(S): This class does not go as far as making each copy posted on the web (or printed for that matter) uniquely identifiable. That would require changes to the BRIDG model."
DocumentVersionWorkflowStatus,Common Sub-Domain,5.2,"DEFINITION: The workflow status associated with a document version from submission through abstraction. EXAMPLE(S): OTHER NAME(S): NOTE(S): Please refer to the Processing Status state transition diagram for further details."
DonorRegistry,Common Sub-Domain,5.2,"DEFINITION: An organization that administers the registration of donors of materials for transplantation. EXAMPLE(S): 'Be The Match' registry maintained by the National Marrow Donor Program (NMDP) OTHER NAME(S): NOTE(S): The registry should contain basic information about each donor sufficient to identify duplicate entries and match donors to potential recipients. There may be names for the registry e.g. Be The Match however we do not have a requirement for adding this at this time."
Drug,Common Sub-Domain,5.2,"DEFINITION: An article other than food intended for use in the diagnosis cure mitigation treatment or prevention of disease; or intended to affect the structure or any function of the body. EXAMPLE(S): aspirin OTHER NAME(S): NOTE(S):"
ExperimentalUnit,Common Sub-Domain,5.2,"DEFINITION: A physical entity which is the primary unit of interest in a specific research objective. EXAMPLE(S): If all pigs in a pen receive the same intervention in their feed and the primary observations and analyses of interest are associated with the entire pen (e.g. total feed consumed total weight of all pigs combined) then the pen of pigs rather than the individual animal is the experimental unit. [example from the CDISC/HL7 Study Participation message] A human may have 10 patches of skin each considered an experimental unit. A product may have 10 bearings in it each considered an experimental unit. Alternatively the whole human or product may be an experimental unit. OTHER NAME(S): NOTE(S): Depending on the research objectives a single study may have multiple levels of experimental units such as whole people and patches of skin. In an interventional study the experimental unit is assigned to an intervention. The experimental unit is also the unit of primary statistical analysis. Commonly the individual study subject (animal person or product) is the experimental unit. Different experimental units must be capable of receiving different experimental interventions. "
FoodProduct,Common Sub-Domain,5.2,"DEFINITION: A substance consumed by a human or animal for nutritional purposes. EXAMPLE(S): broccoli donuts pet treats OTHER NAME(S): NOTE(S):"
HealthcareFacility,Common Sub-Domain,5.2,"DEFINITION: An organization that devotes some or all of its resources (people places things) to the delivery of healthcare services (including the financial and administrative management of those resources). EXAMPLE(S): Northwestern Memorial Hospital OTHER NAME(S): NOTE(S): A healthcare facility may be manifest as a single physical location (e.g. building) or alternatively as a distributed collection of physical spaces."
HealthcareProvider,Common Sub-Domain,5.2,"DEFINITION: A person licensed certified or otherwise authorized or permitted by law to administer healthcare in the ordinary course of business or practice of a profession. EXAMPLE(S): Physician Physician Assistant Psychologist Nurse Physical Therapist OTHER NAME(S): NOTE(S):"
HealthcareProviderGroup,Common Sub-Domain,5.2,"DEFINITION: A collection of healthcare providers loosely based upon a criterion (i.e. specialty department credentials). EXAMPLE(S): Department of Radiology Oncology Nurses Oncologists Physicians OTHER NAME(S): NOTE(S):"
HealthcareProviderGroupMember,Common Sub-Domain,5.2,"DEFINITION: The role of an individual healthcare provider as a constituent part of a group. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
ID,Common Sub-Domain,5.2,"DEFINITION: A complex identifier datatype that provides more information including a type code about an identifier than the instance identifier (II) datatype. EXAMPLE(S): OTHER NAME(S): NOTE(S): The use of this new datatype is an extension of the HL7 ADT R2 specification currently used in BRIDG. This extension allows the identifier attribute to reside in the source class instead of an additional class created to allow for additional identifier information such as type code which is a common requirement. This approach simplifies the model by reducing the number of classes and relationships. "
InsuredPerson,Common Sub-Domain,5.2,"DEFINITION: An individual person who is an insurance policy holder and who thereby may be covering healthcare costs for themselves or another person. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
Manufacturer,Common Sub-Domain,5.2,"DEFINTION: The organization responsible for creating the product as stated on the package in which the product is supplied. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
MaritalStatus,Common Sub-Domain,5.2,"DEFINITION: The domestic partnership status of a person. EXAMPLE(S): For the U.S. Census 2000: Now Married Widowed Separated Divorced Never Married OTHER NAME(S): NOTE(S):"
Material,Common Sub-Domain,5.2,"DEFINITION: A physical substance or system. EXAMPLE(S): drugs such as aspirin devices such as pacemakers or freezers systems such as software programs biologics such as blood food products such as broccoli cosmetics such as lipstick containers such as a blister pack or a test tube OTHER NAME(S): NOTE(S): Materials may be naturally occurring or may be made by natural or engineered processes."
MaterialName,Common Sub-Domain,5.2,"DEFINITION: The non-unique textual identification of a material in a specified context. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
MicrobiologicalCulture,Common Sub-Domain,5.2,"DEFINITION: A cell culture obtained from multiplying microbial organisms by letting them reproduce in predetermined culture media under controlled laboratory conditions. [Source NCI-T: Cell Line + Wikipedia] EXAMPLE(S): yeast bacteria and viral cultures OTHER NAME(S): NOTE(S):"
NonResearchProject,Common Sub-Domain,5.2,"DEFINITION: A project that does not have a specific hypothesis or discovery objective and typically supports research projects. Supporting projects can be one-time or ongoing operations. EXAMPLE(S): Institutional biobanking project that includes running operations such as receiving processing quality control and storage of biospecimens. Deployment of an enterprise software system e.g. laboratory information management system a biorepository that stores biological samples (usually human) for use in research OTHER NAME(S): NOTE(S):"
NonResearchProjectConduct,Common Sub-Domain,5.2,"DEFINITION: An ongoing and/or past performance of a non-research project. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
NotificationReceiver,Common Sub-Domain,5.2,"DEFINITION: A person or organization that is the target of a notification. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
Organization,Common Sub-Domain,5.2,"DEFINITION: A formalized group of persons or other organizations collected together for a common purpose (such as administrative legal political) and the infrastructure to carry out that purpose. EXAMPLE(S): US National Cancer Institute (NCI); CDISC; HL7 ACME Corporation OTHER NAME(S): NOTE(S):"
OrganizationRelationship,Common Sub-Domain,5.2,"DEFINITION: Specifies the link between one organization and another. EXAMPLE(S): The relationship between an organization and its legal representative the whole/part relationship between an organization and its sub organizations (e.g. departments divisions). OTHER NAME(S): NOTE(S):"
OrganizationStaff,Common Sub-Domain,5.2,"DEFINITION: An individual who is employed and/or involved in any aspect of conduct of an organization's business. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
OrganizationStaffRole,Common Sub-Domain,5.2,"DEFINITION: A function performed by an individual on behalf of an organization who is employing them. EXAMPLE(S): Grants Manager Project Assistant Visit Report Reviewer OTHER NAME(S): NOTE(S): Note that a function is not the same as a job title; a person may perform multiple different roles simultaneously and the function may not have an obvious relation to their job title."
OversightAuthority,Common Sub-Domain,5.2,"DEFINITION: An organization with monitoring regulatory or supervisory authority over biomedical research at the local regional national or international level. EXAMPLE(S): Medicines and Healthcare Products Regulatory Agency (MHRA) in the UK Food and Drug Administration (FDA) in the USA World Health Organization (WHO) Institutional Review Board (IRB) Ethics committee Research ethics board OTHER NAME(S): NOTE(S):"
OversightCommittee,Common Sub-Domain,5.2,"DEFINITION: An organization that approves monitors and reviews biomedical research to protect the rights safety and welfare of the study subjects. This committee performs critical oversight functions for research conducted on human study subjects that are scientific ethical and regulatory. EXAMPLE(S): Institutional Review Board (IRB) ethics committee research ethics board OTHER NAME(S): NOTE(S):"
PerformedReportGeneration,Common Sub-Domain,5.2,"DEFINITION: The completed action of producing an organized collection of information in an official format. EXAMPLE(S): generating an Anatomic Pathology Structured Report OTHER NAME(S): NOTE(S):"
PerformedSupply,Common Sub-Domain,5.2,"DEFINITION: The completed act of providing a product for use in a clinical setting. EXAMPLE(S): Providing a specific identified specimen container which will be used in specimen processing. OTHER NAME(S): NOTE(S):"
Performer,Common Sub-Domain,5.2,"DEFINITION: The person organization or device that executes or accomplishes an activity. EXAMPLE(S): surgeon performing laboratory monitoring device healthcare provider adjudication committee family member radiologist vendor (may provide a uniform assessment for all sites participating in a study) heart rate monitor pace maker. OTHER NAME(S):Assessor NOTE(S):A Performer may be simply a person organization or device or it may be a person organization or device in a particular role that is important for understanding or interpreting the significance of the activity or its results such as with observations."
Person,Common Sub-Domain,5.2,"DEFINITION: A human being. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
Place,Common Sub-Domain,5.2,"DEFINITION: A bounded physical location which may contain structures. EXAMPLE(S): ambulance helicopter manufacturing site service delivery location home emergency department surgical suite patient room OTHER NAME(S): NOTE(S): Constraints: Place may be natural or man-made. The geographic position of a place may or may not be constant. Discussion: Places may be work facilities (where relevant acts occur) homes (where people live) or offices (where people work). Places may contain sub-places (floor room booth bed). Places may also be sites that are investigated in the context of health care social work public health administration (e.g. buildings picnic grounds day care centers prisons counties states and other focuses of epidemiological events). "
PointOfContact,Common Sub-Domain,5.2,"DEFINITION: A person or organization that provides or receives information on behalf of or regarding an organization material project or standard operating procedure. EXAMPLE(S): Safety Representative Sales Representative Financial Representative Manufacturing Representative Review Board Contact Research Technician Service Representative OTHER NAME(S): NOTE(S):"
ProcessProtocol,Common Sub-Domain,5.2,"DEFINITION: A standard operating procedure (SOP) that is a collection of activities and the rules that describe when each activity is performed to achieve a specific purpose or objective(s). EXAMPLE(S): Specimen Collection Protocol; Specimen Processing Protocol; Image Acquisition Protocol OTHER NAME(S): NOTE(S): In modeling often the same term is used to mean different things and a single concept can have more than one name. In the healthcare arena the term protocol is somewhat overloaded and must be qualified to provide semantic context. Therefore during the early years of the BRIDG project the term study protocol was chosen to disambiguate the concept of the detailed plan for a clinical study (the scope of BRIDG at that time) from other kinds of protocols such as are common in life sciences. In BRIDG the notion of a study protocol is very specific in purpose and includes (but is not limited to) the design statistical considerations activities to test a particular hypothesis or answer a particular question that is the basis of the study characteristics specifications objective(s) background pre-study/study/post-study portions of the plan (including the design methodology statistical considerations organization). For a more complete discussion of the notion of the study protocol see the classes StudyProtocol StudyProtocolVersion StudyProtocolDocument StudyProtocolDocumentVersion StudyConduct and all their associations. With the addition of life sciences to the scope of the BRIDG model there came along (with that scope) the need to identify the kind of protocol that represents a more simple or atomic concept that of “a composite activity that serves as a rule that guides how activities should be performed.” This concept represented by the ProcessProtocol class has a more limited size than the concept of a study protocol does and represents a standardized approach to doing tasks or activities that are not as big as the plan for a whole study. The BRIDG SCC acknowledges that overloaded terms are problematic. The SCC recognizes that many different users within the BRIDG community will have differing opinions on what the meaning of a term is which term is the best to use for each concept and how to define them most effectively. Given that the real “meat” of a concept is in the definition the BRIDG SCC aims to choose the most unambiguous term to use as the class name to make the class definition as explicit and clear as possible to provide sufficient examples and other names to illustrate the range of possible instances that could be represented by the class. So the BRIDG model is maintaining the distinction between a ProcessProtocol and a StudyProtocol because there is a distinction in the domain that we're trying to disambiguate - the concepts attributes and relationships that describe an SOP-like atomic reusable ProcessProtocol are very different than those of a full-blown clinical trial StudyProtocol. Linking the classes because they both contain the same overloaded word would create artificial complexity in the model and not serve the ultimate purpose of interoperability across systems that need to exchange biomedical research data."
ProcessedProduct,Common Sub-Domain,5.2,"DEFINITION: Specifies the link between a processor and a product produced by that processor. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
ProcessingSite,Common Sub-Domain,5.2,"DEFINITION: The particular plant or processing location at which the product was processed EXAMPLE(S): GSK Zebulon NC OTHER NAME(S): NOTE(S): The site could pertain to a different corporation than the one which is the formal manufacturer. "
Processor,Common Sub-Domain,5.2,"DEFINITION: An organization defined as being responsible for making assembling refurbishing packaging etc. a product. EXAMPLE(S): The maker identified on the product's box. OTHER NAME(S): NOTE(S): In some cases the responsible organization will actually be listed as a reprocessor of the item."
Product,Common Sub-Domain,5.2,"DEFINITION: A material produced by or resulting from a process. EXAMPLE(S): animal and human drugs; therapeutic biologics; allergenics; cell tissue and gene therapy products; blood components; blood derivative products; devices; animal (pets and livestock) and human food/feed (medicated and un-medicated); cosmetics; pet treats; dietary supplements [examples from FDA's list of regulated products] Therapeutic devices software programs diagnostic or storage equipment pill bottle tube rack Natural or Synthesized DNA The HeLa cell line the HEK-293 cell line OTHER NAME(S): NOTE(S): The term “Product” as a class name in BRIDG is not intended to imply commercial products only but rather any material that is produced by a process. This includes biologics collected for testing transplant or replication as well as tissue that is banked."
ProductGroup,Common Sub-Domain,5.2,"DEFINITION: A collection of instances of a product. EXAMPLE(S): 10 pills 5 pace makers OTHER NAME(S): NOTE(S):"
ProductRelationship,Common Sub-Domain,5.2,"DEFINITION: Specifies the link between one product and another. EXAMPLE(S): lot content kind part ingredient package assembly specialized equivalent OTHER NAME(S): NOTE(S):"
Project,Common Sub-Domain,5.2,"DEFINITION: A set of coordinated activities that is intended to achieve one or more objectives. EXAMPLE(S): The Cancer Genome Atlas (TCGA) The Breast and Colon Cancer Family Registries OTHER NAME(S): NOTE(S):"
ProjectConduct,Common Sub-Domain,5.2,"DEFINITION: An ongoing and/or past performance of a project. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
ProjectRelationship,Common Sub-Domain,5.2,"DEFINITION: Specifies the link between one project and another. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
QualifiedPerson,Common Sub-Domain,5.2,"DEFINITION: A person that has been recognized as having certain training/experience or other characteristics that would make that person an appropriate performer for a certain activity. EXAMPLE(S): board certification academic degree medical license OTHER NAME(S): NOTE(S):"
ReportReceiver,Common Sub-Domain,5.2,"DEFINITION: A role of a person or an organization that receives or is intended to receive a report.. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
ReportSubmitter,Common Sub-Domain,5.2,"DEFINITION: A role of a person who submits a report. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
